"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Tune Feature Test Suite","5","0","","0"
"0","","0","Preset Feature Test Suite","10","0","","0"
"1","","0","Wizard Sticker Feature Test Suite","14","0","","0"
"0","","0","Export Feature Test Suite","8","0","","0"
"0","","0","Canvas Feature Test Suite","8","0","","0"
"0","","0","Freeze Feature Test Suite","8","0","","0"
"0","","0","Sticker Feature Test Suite","12","0","","0"
"0","","0","Sort Feature Test Suite","11","0","","0"
"1","","0","Audio Feature Test Suite","16","0","","0"
"1","","0","Edit Feature Test Suite","33","0","","0"
"0","","0","Effect Feature Test Suite","6","0","","0"
"0","","0","Text Feature Test Suite","10","0","","0"
"0","","0","Overlay Feature Test Suite","10","0","","0"
